time,ax,ay,az,aT
1.8310,1.5540,0.4428,-0.6010,1.724
1.8310,1.5540,0.4428,-0.6010,1.724
1.8490,1.5202,0.3742,-0.5900,1.673
1.8490,1.5202,0.3742,-0.5900,1.673
1.8490,1.5202,0.3742,-0.5900,1.673
1.8650,1.5430,0.3920,-0.6190,1.708
1.8660,1.5577,0.3970,-0.6481,1.733
1.8660,1.5577,0.3970,-0.6481,1.733
1.8840,1.5278,0.4302,-0.7316,1.748
1.8840,1.5278,0.4302,-0.7316,1.748
1.8850,1.5278,0.4302,-0.7316,1.748
1.8850,1.5278,0.4302,-0.7316,1.748
1.8980,1.4761,0.5043,-0.7707,1.740
1.8990,1.4761,0.5043,-0.7707,1.740
1.9180,1.4837,0.5946,-0.7337,1.759
1.9180,1.4837,0.5946,-0.7337,1.759
1.9190,1.4798,0.6104,-0.6944,1.745
1.9190,1.4798,0.6104,-0.6944,1.745
1.9340,1.5052,0.6762,-0.5438,1.737
1.9350,1.5052,0.6762,-0.5438,1.737
1.9350,1.5052,0.6762,-0.5438,1.737
1.9480,1.5168,0.7202,-0.4742,1.745
1.9480,1.5168,0.7202,-0.4742,1.745
1.9490,1.5168,0.7202,-0.4742,1.745
1.9650,1.3931,0.7550,-0.3925,1.632
1.9660,1.3931,0.7550,-0.3925,1.632
1.9660,1.3931,0.7550,-0.3925,1.632
1.9810,1.0911,0.7633,-0.3983,1.390
1.9820,0.9910,0.7498,-0.4340,1.316
1.9830,0.9910,0.7498,-0.4340,1.316
1.9990,0.8202,0.7554,-0.4177,1.191
2.0000,0.8202,0.7554,-0.4177,1.191
2.0000,0.8202,0.7554,-0.4177,1.191
2.0180,0.7872,0.7561,-0.4341,1.175
2.0180,0.7872,0.7561,-0.4341,1.175
2.0210,0.7872,0.7561,-0.4341,1.175
2.0210,0.7872,0.7561,-0.4341,1.175
2.0300,0.8062,0.7109,-0.5779,1.220
2.0310,0.8062,0.7109,-0.5779,1.220
2.0480,0.9021,0.6525,-0.8430,1.396
2.0490,0.9581,0.6035,-0.9026,1.448
2.0490,0.9581,0.6035,-0.9026,1.448
2.0500,0.9581,0.6035,-0.9026,1.448
2.0650,1.1141,0.4297,-1.0494,1.590
2.0650,1.1141,0.4297,-1.0494,1.590
2.0660,1.1141,0.4297,-1.0494,1.590
2.0830,1.2454,0.1849,-1.0582,1.645
2.0830,1.2771,0.1228,-1.0881,1.682
2.0840,1.2771,0.1228,-1.0881,1.682
2.1010,1.3517,0.0257,-1.0770,1.729
2.1020,1.3517,0.0257,-1.0770,1.729
2.1020,1.3648,-0.0511,-0.9574,1.668
2.1180,1.3860,-0.1859,-0.7564,1.590
2.1180,1.3509,-0.2489,-0.6888,1.537
2.1190,1.3509,-0.2489,-0.6888,1.537
2.1190,1.3509,-0.2489,-0.6888,1.537
2.1310,1.2135,-0.3642,-0.6087,1.406
2.1310,1.1042,-0.4189,-0.5649,1.309
2.1480,0.8801,-0.5602,-0.4646,1.142
2.1480,0.8801,-0.5602,-0.4646,1.142
2.1480,0.8801,-0.5602,-0.4646,1.142
2.1640,0.6139,-0.8812,-0.0470,1.075
2.1650,0.6162,-0.9287,0.1017,1.119
2.1650,0.6162,-0.9287,0.1017,1.119
2.1810,0.7473,-0.9531,0.5771,1.342
2.1810,0.7473,-0.9531,0.5771,1.342
2.1810,0.7473,-0.9531,0.5771,1.342
2.1810,0.7473,-0.9531,0.5771,1.342
2.1970,0.9577,-0.8431,1.1450,1.714
2.1970,0.9577,-0.8431,1.1450,1.714
2.2210,1.0341,-0.4225,1.3558,1.757
2.2210,1.0341,-0.4225,1.3558,1.757
2.2210,1.0341,-0.4225,1.3558,1.757
2.2220,0.9764,-0.2910,1.1845,1.562
2.2300,0.8836,-0.1543,1.0117,1.352
2.2300,0.8836,-0.1543,1.0117,1.352
2.2480,0.4964,0.4044,0.5083,0.818
2.2480,0.4964,0.4044,0.5083,0.818
2.2490,0.4964,0.4044,0.5083,0.818
2.2490,0.4964,0.4044,0.5083,0.818
2.2650,0.3592,0.6764,0.3629,0.848
2.2650,0.2988,0.7993,0.2750,0.896
2.2660,0.2988,0.7993,0.2750,0.896
2.2820,0.1987,1.2238,0.0607,1.241
2.2830,0.1987,1.2238,0.0607,1.241
2.2830,0.1987,1.2238,0.0607,1.241
2.2990,0.2369,1.3852,-0.0588,1.407
2.2990,0.2504,1.4078,-0.0742,1.432
2.3000,0.2504,1.4078,-0.0742,1.432
2.3000,0.2504,1.4078,-0.0742,1.432
2.3180,0.2141,1.3623,-0.1194,1.384
2.3190,0.1642,1.2863,-0.1354,1.304
2.3190,0.1642,1.2863,-0.1354,1.304
2.3190,0.1642,1.2863,-0.1354,1.304
2.3320,0.0353,1.1054,-0.1972,1.123
2.3320,0.0353,1.1054,-0.1972,1.123
2.3490,-0.3786,0.5465,-0.0864,0.670
2.3490,-0.3786,0.5465,-0.0864,0.670
2.3490,-0.3786,0.5465,-0.0864,0.670
2.3650,-0.3537,0.1265,0.1904,0.421
2.3650,-0.3537,0.1265,0.1904,0.421
2.3660,-0.3537,0.1265,0.1904,0.421
2.3810,0.0255,-0.1925,0.3245,0.378
2.3820,0.0255,-0.1925,0.3245,0.378
2.3820,0.0255,-0.1925,0.3245,0.378
2.3980,0.6670,-0.6129,0.1676,0.921
2.3990,0.6670,-0.6129,0.1676,0.921
2.4000,0.8475,-0.6898,0.0712,1.095
2.4190,1.2614,-0.8375,-0.2369,1.533
2.4200,1.3501,-0.8643,-0.3257,1.636
2.4200,1.3501,-0.8643,-0.3257,1.636
2.4210,1.3501,-0.8643,-0.3257,1.636
2.4360,1.4505,-0.8456,-0.4431,1.736
2.4360,1.4505,-0.8456,-0.4431,1.736
2.4360,1.4505,-0.8456,-0.4431,1.736
2.4370,1.4505,-0.8456,-0.4431,1.736
2.4480,1.4206,-0.8350,-0.4047,1.697
2.4490,1.4114,-0.8398,-0.4024,1.691
2.4650,1.4519,-0.8780,-0.4790,1.763
2.4660,1.4519,-0.8780,-0.4790,1.763
2.4660,1.4519,-0.8780,-0.4790,1.763
2.4820,1.6354,-0.8923,-0.5511,1.943
2.4820,1.6354,-0.8923,-0.5511,1.943
2.4820,1.6354,-0.8923,-0.5511,1.943
2.5010,1.6673,-0.8295,-0.6100,1.960
2.5010,1.6673,-0.8295,-0.6100,1.960
2.5010,1.6673,-0.8295,-0.6100,1.960
2.5020,1.6673,-0.8295,-0.6100,1.960
2.5190,1.3646,-0.7140,-0.6690,1.679
2.5190,1.3646,-0.7140,-0.6690,1.679
2.5330,1.0286,-0.6843,-0.7255,1.433
2.5330,1.0286,-0.6843,-0.7255,1.433
2.5340,1.0286,-0.6843,-0.7255,1.433
2.5340,1.0286,-0.6843,-0.7255,1.433
2.5500,0.9232,-0.6855,-0.5480,1.274
2.5500,0.9232,-0.6855,-0.5480,1.274
2.5660,1.0129,-0.7461,-0.3564,1.307
2.5660,1.0129,-0.7461,-0.3564,1.307
2.5670,1.0129,-0.7461,-0.3564,1.307
2.5670,1.0129,-0.7461,-0.3564,1.307
2.5820,1.0587,-0.8849,-0.3725,1.429
2.5820,1.0587,-0.8849,-0.3725,1.429
2.6030,0.9512,-1.0566,-0.5864,1.538
2.6040,0.8715,-1.1243,-0.6484,1.563
2.6040,0.8715,-1.1243,-0.6484,1.563
2.6050,0.8715,-1.1243,-0.6484,1.563
2.6170,0.6954,-1.2789,-0.8854,1.704
2.6180,0.6609,-1.3343,-0.9718,1.778
2.6180,0.6609,-1.3343,-0.9718,1.778
2.6180,0.6609,-1.3343,-0.9718,1.778
2.6320,0.7743,-1.4074,-0.9637,1.873
2.6330,0.7743,-1.4074,-0.9637,1.873
2.6490,1.1103,-1.3572,-0.7358,1.902
2.6490,1.1103,-1.3572,-0.7358,1.902
2.6500,1.1103,-1.3572,-0.7358,1.902
2.6500,1.1103,-1.3572,-0.7358,1.902
2.6660,1.3416,-1.3627,-0.7035,2.038
2.6670,1.3678,-1.3863,-0.7239,2.078
2.6830,1.2693,-1.4459,-0.8380,2.099
2.6830,1.2693,-1.4459,-0.8380,2.099
2.6840,1.2693,-1.4459,-0.8380,2.099
2.6840,1.2693,-1.4459,-0.8380,2.099
2.6990,0.9484,-1.4860,-1.0242,2.039
2.6990,0.9484,-1.4860,-1.0242,2.039
2.7380,0.2620,-0.8128,-1.5994,1.813
2.7390,0.2469,-0.6644,-1.6945,1.837
2.7440,0.2469,-0.6644,-1.6945,1.837
2.7460,0.2469,-0.6644,-1.6945,1.837
2.7460,0.2469,-0.6644,-1.6945,1.837
2.7470,0.2469,-0.6644,-1.6945,1.837
2.7650,0.1386,-0.0192,-2.1312,2.136
2.7650,0.1386,-0.0192,-2.1312,2.136
2.7670,0.0912,0.0648,-2.2095,2.212
2.7670,0.0912,0.0648,-2.2095,2.212
2.7670,0.0912,0.0648,-2.2095,2.212
2.7680,0.0912,0.0648,-2.2095,2.212
2.7680,0.0912,0.0648,-2.2095,2.212
2.7680,0.0912,0.0648,-2.2095,2.212
2.7800,-0.0121,0.2321,-2.4093,2.420
2.7800,-0.0493,0.3465,-2.4780,2.503
2.7970,0.0760,0.6603,-1.8929,2.006
2.7970,0.0760,0.6603,-1.8929,2.006
2.8160,0.6999,0.6873,0.4127,1.064
2.8170,0.6999,0.6873,0.4127,1.064
2.8170,0.6999,0.6873,0.4127,1.064
2.8180,0.6999,0.6873,0.4127,1.064
2.8310,1.2568,0.3751,2.0384,2.424
2.8310,1.2568,0.3751,2.0384,2.424
2.8310,1.2568,0.3751,2.0384,2.424
2.8310,1.2568,0.3751,2.0384,2.424
2.8480,0.9789,-0.6336,2.8200,3.052
2.8480,0.9789,-0.6336,2.8200,3.052
2.8640,0.4017,-1.1411,2.5748,2.845
2.8650,0.4017,-1.1411,2.5748,2.845
2.8650,0.4017,-1.1411,2.5748,2.845
2.8650,0.4017,-1.1411,2.5748,2.845
2.8800,-0.2249,-1.5393,1.4842,2.150
2.8810,-0.1382,-1.4761,1.1993,1.907
