time,ax,ay,az,aT
3.8920,1.8815,-8.1425,-1.3124,8.460
3.9080,5.5116,-10.1623,3.7208,12.145
3.9080,5.5116,-10.1623,3.7208,12.145
3.9240,7.5529,-8.4342,9.8787,15.026
3.9410,10.6207,-6.0831,6.3151,13.773
3.9420,10.6207,-6.0831,6.3151,13.773
3.9580,12.0896,-4.4556,1.8032,13.010
3.9750,6.0847,-1.9882,-11.4236,13.095
3.9750,6.0847,-1.9882,-11.4236,13.095
3.9920,2.7274,-1.9153,-38.9592,39.102
3.9920,2.7274,-1.9153,-38.9592,39.102
4.0110,5.7570,0.1676,-18.8274,19.689
4.0250,5.4377,0.5896,-5.7230,7.916
4.0260,5.4377,0.5896,-5.7230,7.916
4.0430,7.6545,2.3796,-0.6287,8.041
4.0430,7.6545,2.3796,-0.6287,8.041
4.0590,9.9516,3.5144,-0.6271,10.573
4.0760,9.6750,6.4748,-0.2686,11.645
4.0770,9.6750,6.4748,-0.2686,11.645
4.0930,7.5260,9.1664,-0.3909,11.867
4.1110,3.1111,10.6117,-2.4401,11.324
4.1120,3.1111,10.6117,-2.4401,11.324
4.1270,0.9869,10.0661,-2.5743,10.437
4.1430,0.6666,4.7701,-0.4008,4.833
4.1430,0.6666,4.7701,-0.4008,4.833
4.1590,0.7189,1.4089,0.0552,1.583
4.1600,0.7189,1.4089,0.0552,1.583
4.1770,-0.3335,-4.5872,-1.6136,4.874
4.1960,-1.7688,-24.1660,4.4927,24.644
4.2120,-3.0771,-39.7254,1.2922,39.865
4.2150,-3.0771,-39.7254,1.2922,39.865
4.2150,-4.3282,-41.8283,-1.6421,42.084
4.2260,-8.2124,-37.3762,-0.7114,38.274
4.2430,-6.6951,-15.8941,1.1022,17.282
4.2440,-7.2673,-11.2888,1.8451,13.552
4.2600,-7.6747,-2.2580,3.8205,8.865
4.2760,-4.8703,3.0555,3.8304,6.909
4.2770,-4.8703,3.0555,3.8304,6.909
4.2950,-2.2943,4.8821,2.6280,6.000
4.3140,-4.8857,4.0070,1.2798,6.447
4.3150,-4.8857,4.0070,1.2798,6.447
4.3330,-5.9327,3.8803,1.8133,7.317
4.3340,-6.1330,4.1492,2.2838,7.749
4.3430,-6.3735,5.3869,3.6269,9.099
4.3590,-5.8247,8.0254,5.0150,11.112
4.3590,-5.1526,8.7416,5.2806,11.439
4.3750,-3.0442,10.6255,6.7206,12.936
4.3920,-0.3279,12.9062,5.9780,14.227
4.3930,1.9278,14.0734,4.5669,14.921
4.4130,15.5601,14.4917,3.8628,21.611
4.4140,15.5601,14.4917,3.8628,21.611
4.4260,18.9042,11.7832,-2.8547,22.458
4.4420,10.5630,2.2229,-3.3667,11.307
4.4420,10.5630,2.2229,-3.3667,11.307
4.4590,-0.8313,-0.9569,0.1134,1.273
4.4760,-14.6174,-10.9389,-20.6074,27.532
4.4760,-14.6174,-10.9389,-20.6074,27.532
4.4930,-12.3413,-8.6910,-0.6106,15.107
4.5100,-9.7973,-12.5640,9.4939,18.547
4.5110,-9.7973,-12.5640,9.4939,18.547
4.5260,-9.5894,-6.1326,9.2152,14.645
4.5260,-9.5894,-6.1326,9.2152,14.645
4.5430,-9.9714,0.1260,7.3996,12.418
4.5610,-10.7020,-1.7605,5.0259,11.954
4.5610,-10.3364,-2.4760,4.3024,11.467
4.5780,-6.6592,-3.7560,2.5143,8.048
4.5780,-6.6592,-3.7560,2.5143,8.048
4.5940,-1.6539,-6.3657,1.6892,6.790
4.6140,4.5127,-11.5011,3.4925,12.839
4.6150,5.4127,-12.5803,4.7552,14.497
4.6290,6.7443,-13.0579,7.4719,16.487
